Name,Question,Inr,Answer
Charles Dickens,Tends to be disorganized,18,2
Charles Dickens,Worries a lot,19,4
Charles Dickens,Has an active imagination,20,5
Charles Dickens,Tends to be quiet,21,3
Charles Dickens,Is generally trusting,22,4
Charles Dickens,Tends to be lazy,23,2
Charles Dickens,"Is emotionally stable, not easily upset",24,4
Charles Dickens,Is inventive,25,4
Charles Dickens,Has an assertive personality,26,4
Charles Dickens,Can be cold and aloof,27,3
Charles Dickens,Perseveres until the task is finished,28,5
Charles Dickens,Can be moody,29,4
Charles Dickens,"Values artistic, aesthetic experiences",30,5
Charles Dickens,"Is sometimes shy, inhibited",31,3
Charles Dickens,Is considerate and kind to almost everyone,32,4
Charles Dickens,Does things efficiently,33,4
Charles Dickens,Remains calm in tense situations,34,4
Charles Dickens,Prefers work that is routine,35,2
Charles Dickens,"Is outgoing, sociable",36,4
Charles Dickens,Is sometimes rude to others,37,2
Charles Dickens,Makes plans and follows through with them,38,4
Charles Dickens,Gets nervous easily,39,3
Charles Dickens,"Likes to reflect, play with ideas",40,5
Charles Dickens,Has few artistic interests,41,2
Charles Dickens,Likes to cooperate with others,42,4
Charles Dickens,Is easily distracted,43,4
Charles Dickens,"Is sophisticated in art, music, or Literature",44,5
Alexander Pushkin,Is talkative,1,4
Alexander Pushkin,Tends to find fault with others,2,2
Alexander Pushkin,Does a thorough job,3,5
Alexander Pushkin,"Is depressed, blue",4,2
Alexander Pushkin,"Is original, comes up with new ideas",5,5
Alexander Pushkin,Is reserved,6,3
Alexander Pushkin,Is helpful and unselfish with others,7,4
Alexander Pushkin,Can be somewhat careless,8,3
Alexander Pushkin,"Is relaxed, handles stress well",9,4
Alexander Pushkin,Is curious about many different things,10,5
Alexander Pushkin,Is full of energy,11,4
Alexander Pushkin,Starts quarrels with others,12,1
Alexander Pushkin,Is a reliable worker,13,5
Alexander Pushkin,Can be tense,14,4
Alexander Pushkin,"Is ingenious, a deep thinker",15,4
Alexander Pushkin,Generates a lot of enthusiasm,16,4
Alexander Pushkin,Has a forgiving nature,17,4
Alexander Pushkin,Tends to be disorganized,18,2
Alexander Pushkin,Worries a lot,19,3
Alexander Pushkin,Has an active imagination,20,5
Alexander Pushkin,Tends to be quiet,21,3
Alexander Pushkin,Is generally trusting,22,4
Alexander Pushkin,Tends to be lazy,23,2
Alexander Pushkin,"Is emotionally stable, not easily upset",24,4
Alexander Pushkin,Is inventive,25,4
Alexander Pushkin,Has an assertive personality,26,4
Alexander Pushkin,Can be cold and aloof,27,3
Alexander Pushkin,Perseveres until the task is finished,28,5
Alexander Pushkin,Can be moody,29,4
Alexander Pushkin,"Values artistic, aesthetic experiences",30,5
Alexander Pushkin,"Is sometimes shy, inhibited",31,3
Alexander Pushkin,Is considerate and kind to almost everyone,32,4
Alexander Pushkin,Does things efficiently,33,4
Alexander Pushkin,Remains calm in tense situations,34,4
Alexander Pushkin,Prefers work that is routine,35,2
Alexander Pushkin,"Is outgoing, sociable",36,4
Alexander Pushkin,Is sometimes rude to others,37,2
Alexander Pushkin,Makes plans and follows through with them,38,4
Alexander Pushkin,Gets nervous easily,39,3
Alexander Pushkin,"Likes to reflect, play with ideas",40,5
Alexander Pushkin,Has few artistic interests,41,1
Alexander Pushkin,Likes to cooperate with others,42,4
Alexander Pushkin,Is easily distracted,43,3
Alexander Pushkin,"Is sophisticated in art, music, or Literature",44,5
Oscar Wilde,Is talkative,1,4
Oscar Wilde,Tends to find fault with others,2,2
Oscar Wilde,Does a thorough job,3,4
Oscar Wilde,"Is depressed, blue",4,4
Oscar Wilde,"Is original, comes up with new ideas",5,5
Oscar Wilde,Is reserved,6,3
Oscar Wilde,Is helpful and unselfish with others,7,4
Oscar Wilde,Can be somewhat careless,8,3
Oscar Wilde,"Is relaxed, handles stress well",9,4
Oscar Wilde,Is curious about many different things,10,5
Oscar Wilde,Is full of energy,11,4
Oscar Wilde,Starts quarrels with others,12,2
Oscar Wilde,Is a reliable worker,13,4
Oscar Wilde,Can be tense,14,3
Oscar Wilde,"Is ingenious, a deep thinker",15,4
Oscar Wilde,Generates a lot of enthusiasm,16,4
Oscar Wilde,Has a forgiving nature,17,4
Oscar Wilde,Tends to be disorganized,18,3
Oscar Wilde,Worries a lot,19,3
Oscar Wilde,Has an active imagination,20,5
Oscar Wilde,Tends to be quiet,21,2
Oscar Wilde,Is generally trusting,22,4
Oscar Wilde,Tends to be lazy,23,2
Oscar Wilde,"Is emotionally stable, not easily upset",24,4
Oscar Wilde,Is inventive,25,4
Oscar Wilde,Has an assertive personality,26,4
Oscar Wilde,Can be cold and aloof,27,4
Oscar Wilde,Perseveres until the task is finished,28,4
Oscar Wilde,Can be moody,29,4
Oscar Wilde,"Values artistic, aesthetic experiences",30,5
Oscar Wilde,"Is sometimes shy, inhibited",31,3
Oscar Wilde,Is considerate and kind to almost everyone,32,4
Oscar Wilde,Does things efficiently,33,4
Oscar Wilde,Remains calm in tense situations,34,4
Oscar Wilde,Prefers work that is routine,35,2
Oscar Wilde,"Is outgoing, sociable",36,4
Oscar Wilde,Is sometimes rude to others,37,2
Oscar Wilde,Makes plans and follows through with them,38,4
Oscar Wilde,Gets nervous easily,39,3
Oscar Wilde,"Likes to reflect, play with ideas",40,5
Oscar Wilde,Has few artistic interests,41,1
Oscar Wilde,Likes to cooperate with others,42,4
Oscar Wilde,Is easily distracted,43,4
Oscar Wilde,"Is sophisticated in art, music, or Literature",44,5
Carl Friedrich Gauss,Is talkative,1,2
Carl Friedrich Gauss,Tends to find fault with others,2,2
Carl Friedrich Gauss,Does a thorough job,3,5
Carl Friedrich Gauss,"Is depressed, blue",4,2
Carl Friedrich Gauss,"Is original, comes up with new ideas",5,5
Carl Friedrich Gauss,Is reserved,6,4
Carl Friedrich Gauss,Is helpful and unselfish with others,7,5
Carl Friedrich Gauss,Can be somewhat careless,8,2
Carl Friedrich Gauss,"Is relaxed, handles stress well",9,4
Carl Friedrich Gauss,Is curious about many different things,10,5
Carl Friedrich Gauss,Is full of energy,11,4
Carl Friedrich Gauss,Starts quarrels with others,12,1
Carl Friedrich Gauss,Is a reliable worker,13,5
Carl Friedrich Gauss,Can be tense,14,3
Carl Friedrich Gauss,"Is ingenious, a deep thinker",15,5
Carl Friedrich Gauss,Generates a lot of enthusiasm,16,5
Carl Friedrich Gauss,Has a forgiving nature,17,4
Carl Friedrich Gauss,Tends to be disorganized,18,1
Carl Friedrich Gauss,Worries a lot,19,2
Carl Friedrich Gauss,Has an active imagination,20,5
Carl Friedrich Gauss,Tends to be quiet,21,4
Carl Friedrich Gauss,Is generally trusting,22,3
Carl Friedrich Gauss,Tends to be lazy,23,1
Carl Friedrich Gauss,"Is emotionally stable, not easily upset",24,4
Carl Friedrich Gauss,Is inventive,25,5
Carl Friedrich Gauss,Has an assertive personality,26,4
Carl Friedrich Gauss,Can be cold and aloof,27,2
Carl Friedrich Gauss,Perseveres until the task is finished,28,5
Carl Friedrich Gauss,Can be moody,29,3
Carl Friedrich Gauss,"Values artistic, aesthetic experiences",30,4
Carl Friedrich Gauss,"Is sometimes shy, inhibited",31,3
Carl Friedrich Gauss,Is considerate and kind to almost everyone,32,4
Carl Friedrich Gauss,Does things efficiently,33,5
Carl Friedrich Gauss,Remains calm in tense situations,34,5
Carl Friedrich Gauss,Prefers work that is routine,35,2
Carl Friedrich Gauss,"Is outgoing, sociable",36,4
Carl Friedrich Gauss,Is sometimes rude to others,37,2
Carl Friedrich Gauss,Makes plans and follows through with them,38,5
Carl Friedrich Gauss,Gets nervous easily,39,2
Carl Friedrich Gauss,"Likes to reflect, play with ideas",40,5
Carl Friedrich Gauss,Has few artistic interests,41,2
Carl Friedrich Gauss,Likes to cooperate with others,42,4
Carl Friedrich Gauss,Is easily distracted,43,2
Carl Friedrich Gauss,"Is sophisticated in art, music, or Literature",44,5
Leonhard Euler,Is talkative,1,3
Leonhard Euler,Tends to find fault with others,2,2
Leonhard Euler,Does a thorough job,3,5
Leonhard Euler,"Is depressed, blue",4,2
Leonhard Euler,"Is original, comes up with new ideas",5,5
Leonhard Euler,Is reserved,6,3
Leonhard Euler,Is helpful and unselfish with others,7,4
Leonhard Euler,Can be somewhat careless,8,2
Leonhard Euler,"Is relaxed, handles stress well",9,4
Leonhard Euler,Is curious about many different things,10,5
Leonhard Euler,Is full of energy,11,4
Leonhard Euler,Starts quarrels with others,12,1
Leonhard Euler,Is a reliable worker,13,5
Leonhard Euler,Can be tense,14,3
Leonhard Euler,"Is ingenious, a deep thinker",15,5
Leonhard Euler,Generates a lot of enthusiasm,16,4
Leonhard Euler,Has a forgiving nature,17,4
Leonhard Euler,Tends to be disorganized,18,2
Leonhard Euler,Worries a lot,19,3
Leonhard Euler,Has an active imagination,20,5
Leonhard Euler,Tends to be quiet,21,3
Leonhard Euler,Is generally trusting,22,4
Leonhard Euler,Tends to be lazy,23,2
Leonhard Euler,"Is emotionally stable, not easily upset",24,4
Leonhard Euler,Is inventive,25,4
Leonhard Euler,Has an assertive personality,26,4
Leonhard Euler,Can be cold and aloof,27,2
Leonhard Euler,Perseveres until the task is finished,28,5
Leonhard Euler,Can be moody,29,3
Leonhard Euler,"Values artistic, aesthetic experiences",30,4
Leonhard Euler,"Is sometimes shy, inhibited",31,3
Leonhard Euler,Is considerate and kind to almost everyone,32,4
Leonhard Euler,Does things efficiently,33,4
Leonhard Euler,Remains calm in tense situations,34,4
Leonhard Euler,Prefers work that is routine,35,2
Leonhard Euler,"Is outgoing, sociable",36,4
Leonhard Euler,Is sometimes rude to others,37,2
Leonhard Euler,Makes plans and follows through with them,38,4
Leonhard Euler,Gets nervous easily,39,2
Leonhard Euler,"Likes to reflect, play with ideas",40,5
Leonhard Euler,Has few artistic interests,41,2
Leonhard Euler,Likes to cooperate with others,42,4
Leonhard Euler,Is easily distracted,43,2
Leonhard Euler,"Is sophisticated in art, music, or Literature",44,4
Guglielmo Marconi,Is talkative,1,4
Guglielmo Marconi,Tends to find fault with others,2,2
Guglielmo Marconi,Does a thorough job,3,5
Guglielmo Marconi,"Is depressed, blue",4,2
Guglielmo Marconi,"Is original, comes up with new ideas",5,5
Guglielmo Marconi,Is reserved,6,3
Guglielmo Marconi,Is helpful and unselfish with others,7,5
Guglielmo Marconi,Can be somewhat careless,8,2
Guglielmo Marconi,"Is relaxed, handles stress well",9,4
Guglielmo Marconi,Is curious about many different things,10,5
Guglielmo Marconi,Is full of energy,11,5
Guglielmo Marconi,Starts quarrels with others,12,1
Guglielmo Marconi,Is a reliable worker,13,5
Guglielmo Marconi,Can be tense,14,3
Guglielmo Marconi,"Is ingenious, a deep thinker",15,5
Guglielmo Marconi,Generates a lot of enthusiasm,16,5
Guglielmo Marconi,Has a forgiving nature,17,4
Guglielmo Marconi,Tends to be disorganized,18,2
Guglielmo Marconi,Worries a lot,19,2
Guglielmo Marconi,Has an active imagination,20,5
Guglielmo Marconi,Tends to be quiet,21,2
Guglielmo Marconi,Is generally trusting,22,4
Guglielmo Marconi,Tends to be lazy,23,1
Guglielmo Marconi,"Is emotionally stable, not easily upset",24,4
Guglielmo Marconi,Is inventive,25,5
Guglielmo Marconi,Has an assertive personality,26,4
Guglielmo Marconi,Can be cold and aloof,27,3
Guglielmo Marconi,Perseveres until the task is finished,28,5
Guglielmo Marconi,Can be moody,29,3
Guglielmo Marconi,"Values artistic, aesthetic experiences",30,4
Guglielmo Marconi,"Is sometimes shy, inhibited",31,3
Guglielmo Marconi,Is considerate and kind to almost everyone,32,5
Guglielmo Marconi,Does things efficiently,33,4
Guglielmo Marconi,Remains calm in tense situations,34,4
Guglielmo Marconi,Prefers work that is routine,35,2
Guglielmo Marconi,"Is outgoing, sociable",36,4
Guglielmo Marconi,Is sometimes rude to others,37,2
Guglielmo Marconi,Makes plans and follows through with them,38,5
Guglielmo Marconi,Gets nervous easily,39,2
Guglielmo Marconi,"Likes to reflect, play with ideas",40,5
Guglielmo Marconi,Has few artistic interests,41,2
Guglielmo Marconi,Likes to cooperate with others,42,4
Guglielmo Marconi,Is easily distracted,43,2
Guglielmo Marconi,"Is sophisticated in art, music, or Literature",44,4
Pierre-Simon Laplace,Is talkative,1,3
Pierre-Simon Laplace,Tends to find fault with others,2,2
Pierre-Simon Laplace,Does a thorough job,3,5
Pierre-Simon Laplace,"Is depressed, blue",4,2
Pierre-Simon Laplace,"Is original, comes up with new ideas",5,5
Pierre-Simon Laplace,Is reserved,6,3
Pierre-Simon Laplace,Is helpful and unselfish with others,7,4
Pierre-Simon Laplace,Can be somewhat careless,8,3
Pierre-Simon Laplace,"Is relaxed, handles stress well",9,4
Pierre-Simon Laplace,Is curious about many different things,10,5
Pierre-Simon Laplace,Is full of energy,11,4
Pierre-Simon Laplace,Starts quarrels with others,12,1
Pierre-Simon Laplace,Is a reliable worker,13,4
Pierre-Simon Laplace,Can be tense,14,4
Pierre-Simon Laplace,"Is ingenious, a deep thinker",15,5
Pierre-Simon Laplace,Generates a lot of enthusiasm,16,4
Pierre-Simon Laplace,Has a forgiving nature,17,4
Pierre-Simon Laplace,Tends to be disorganized,18,2
Pierre-Simon Laplace,Worries a lot,19,3
Pierre-Simon Laplace,Has an active imagination,20,5
Pierre-Simon Laplace,Tends to be quiet,21,3
Pierre-Simon Laplace,Is generally trusting,22,4
Pierre-Simon Laplace,Tends to be lazy,23,2
Pierre-Simon Laplace,"Is emotionally stable, not easily upset",24,4
Pierre-Simon Laplace,Is inventive,25,4
Pierre-Simon Laplace,Has an assertive personality,26,4
Pierre-Simon Laplace,Can be cold and aloof,27,2
Pierre-Simon Laplace,Perseveres until the task is finished,28,5
Pierre-Simon Laplace,Can be moody,29,4
Pierre-Simon Laplace,"Values artistic, aesthetic experiences",30,4
Pierre-Simon Laplace,"Is sometimes shy, inhibited",31,3
Pierre-Simon Laplace,Is considerate and kind to almost everyone,32,4
Pierre-Simon Laplace,Does things efficiently,33,4
Pierre-Simon Laplace,Remains calm in tense situations,34,4
Pierre-Simon Laplace,Prefers work that is routine,35,3
Pierre-Simon Laplace,"Is outgoing, sociable",36,4
Pierre-Simon Laplace,Is sometimes rude to others,37,2
Pierre-Simon Laplace,Makes plans and follows through with them,38,4
Pierre-Simon Laplace,Gets nervous easily,39,2
Pierre-Simon Laplace,"Likes to reflect, play with ideas",40,5
Pierre-Simon Laplace,Has few artistic interests,41,2
Pierre-Simon Laplace,Likes to cooperate with others,42,4
Pierre-Simon Laplace,Is easily distracted,43,2
Pierre-Simon Laplace,"Is sophisticated in art, music, or Literature",44,4
Jimmy Wales,Is talkative,1,4
Jimmy Wales,Tends to find fault with others,2,2
Jimmy Wales,Does a thorough job,3,5
Jimmy Wales,"Is depressed, blue",4,2
Jimmy Wales,"Is original, comes up with new ideas",5,4
Jimmy Wales,Is reserved,6,3
Jimmy Wales,Is helpful and unselfish with others,7,4
Jimmy Wales,Can be somewhat careless,8,3
Jimmy Wales,"Is relaxed, handles stress well",9,4
Jimmy Wales,Is curious about many different things,10,5
Jimmy Wales,Is full of energy,11,4
Jimmy Wales,Starts quarrels with others,12,1
Jimmy Wales,Is a reliable worker,13,4
Jimmy Wales,Can be tense,14,3
Jimmy Wales,"Is ingenious, a deep thinker",15,4
Jimmy Wales,Generates a lot of enthusiasm,16,4
Jimmy Wales,Has a forgiving nature,17,4
Jimmy Wales,Tends to be disorganized,18,3
Jimmy Wales,Worries a lot,19,3
Jimmy Wales,Has an active imagination,20,4
Jimmy Wales,Tends to be quiet,21,3
Jimmy Wales,Is generally trusting,22,4
Jimmy Wales,Tends to be lazy,23,2
Jimmy Wales,"Is emotionally stable, not easily upset",24,4
Jimmy Wales,Is inventive,25,4
Jimmy Wales,Has an assertive personality,26,4
Jimmy Wales,Can be cold and aloof,27,3
Jimmy Wales,Perseveres until the task is finished,28,5
Jimmy Wales,Can be moody,29,4
Jimmy Wales,"Values artistic, aesthetic experiences",30,4
Jimmy Wales,"Is sometimes shy, inhibited",31,3
Jimmy Wales,Is considerate and kind to almost everyone,32,4
Jimmy Wales,Does things efficiently,33,4
Jimmy Wales,Remains calm in tense situations,34,4
Jimmy Wales,Prefers work that is routine,35,3
Jimmy Wales,"Is outgoing, sociable",36,4
Jimmy Wales,Is sometimes rude to others,37,2
Jimmy Wales,Makes plans and follows through with them,38,4
Jimmy Wales,Gets nervous easily,39,3
Jimmy Wales,"Likes to reflect, play with ideas",40,4
Jimmy Wales,Has few artistic interests,41,2
Jimmy Wales,Likes to cooperate with others,42,5
Jimmy Wales,Is easily distracted,43,3
Jimmy Wales,"Is sophisticated in art, music, or Literature",44,4
Bill Gates,Is talkative,1,3
Bill Gates,Tends to find fault with others,2,2
Bill Gates,Does a thorough job,3,5
Bill Gates,"Is depressed, blue",4,2
Bill Gates,"Is original, comes up with new ideas",5,5
Bill Gates,Is reserved,6,3
Bill Gates,Is helpful and unselfish with others,7,5
Bill Gates,Can be somewhat careless,8,2
Bill Gates,"Is relaxed, handles stress well",9,4
Bill Gates,Is curious about many different things,10,5
Bill Gates,Is full of energy,11,5
Bill Gates,Starts quarrels with others,12,1
Bill Gates,Is a reliable worker,13,5
Bill Gates,Can be tense,14,3
Bill Gates,"Is ingenious, a deep thinker",15,5
Bill Gates,Generates a lot of enthusiasm,16,5
Bill Gates,Has a forgiving nature,17,4
Bill Gates,Tends to be disorganized,18,2
Bill Gates,Worries a lot,19,2
Bill Gates,Has an active imagination,20,4
Bill Gates,Tends to be quiet,21,2
Bill Gates,Is generally trusting,22,4
Bill Gates,Tends to be lazy,23,1
Bill Gates,"Is emotionally stable, not easily upset",24,4
Bill Gates,Is inventive,25,5
Bill Gates,Has an assertive personality,26,4
Bill Gates,Can be cold and aloof,27,2
Bill Gates,Perseveres until the task is finished,28,5
Bill Gates,Can be moody,29,3
Bill Gates,"Values artistic, aesthetic experiences",30,4
Bill Gates,"Is sometimes shy, inhibited",31,3
Bill Gates,Is considerate and kind to almost everyone,32,5
Bill Gates,Does things efficiently,33,5
Bill Gates,Remains calm in tense situations,34,4
Bill Gates,Prefers work that is routine,35,2
Bill Gates,"Is outgoing, sociable",36,4
Bill Gates,Is sometimes rude to others,37,2
Bill Gates,Makes plans and follows through with them,38,5
Bill Gates,Gets nervous easily,39,2
Bill Gates,"Likes to reflect, play with ideas",40,5
Bill Gates,Has few artistic interests,41,2
Bill Gates,Likes to cooperate with others,42,5
Bill Gates,Is easily distracted,43,2
Bill Gates,"Is sophisticated in art, music, or Literature",44,4
Steve Jobs,Is talkative,1,3
Steve Jobs,Tends to find fault with others,2,2
Steve Jobs,Does a thorough job,3,5
Steve Jobs,"Is depressed, blue",4,2
