persona,text,likert_scale,Itemnum,answer
Marlene Dietrich,Can be cold and aloof,1 to 5,27,2
Marlene Dietrich,Perseveres until the task is finished,1 to 5,28,1
Marlene Dietrich,Can be moody,1 to 5,29,3
Marlene Dietrich,"Values artistic, aesthetic experiences",1 to 5,30,5
Marlene Dietrich,"Is sometimes shy, inhibited",1 to 5,31,5
Marlene Dietrich,Is considerate and kind to almost everyone,1 to 5,32,5
Marlene Dietrich,Does things efficiently,1 to 5,33,4
Marlene Dietrich,Remains calm in tense situations,1 to 5,34,5
Marlene Dietrich,Prefers work that is routine,1 to 5,35,5
Marlene Dietrich,"Is outgoing, sociable",1 to 5,36,3
Marlene Dietrich,Is sometimes rude to others,1 to 5,37,4
Marlene Dietrich,Makes plans and follows through with them,1 to 5,38,3
Marlene Dietrich,Gets nervous easily,1 to 5,39,3
Marlene Dietrich,"Likes to reflect, play with ideas",1 to 5,40,3
Marlene Dietrich,Has few artistic interests,1 to 5,41,3
Marlene Dietrich,Likes to cooperate with others,1 to 5,42,3
Marlene Dietrich,Is easily distracted,1 to 5,43,5
Marlene Dietrich,"Is sophisticated in art, music, or Literature",1 to 5,44,3
Robin Williams,Is talkative,1 to 5,1,5
Robin Williams,Tends to find fault with others,1 to 5,2,4
Robin Williams,Does a thorough job,1 to 5,3,3
Robin Williams,"Is depressed, blue",1 to 5,4,1
Robin Williams,"Is original, comes up with new ideas",1 to 5,5,3
Robin Williams,Is reserved,1 to 5,6,3
Robin Williams,Is helpful and unselfish with others,1 to 5,7,5
Robin Williams,Can be somewhat careless,1 to 5,8,5
Robin Williams,"Is relaxed, handles stress well",1 to 5,9,5
Robin Williams,Is curious about many different things,1 to 5,10,4
Robin Williams,Is full of energy,1 to 5,11,5
Robin Williams,Starts quarrels with others,1 to 5,12,4
Robin Williams,Is a reliable worker,1 to 5,13,3
Robin Williams,Can be tense,1 to 5,14,3
Robin Williams,"Is ingenious, a deep thinker",1 to 5,15,5
Robin Williams,Generates a lot of enthusiasm,1 to 5,16,5
Robin Williams,Has a forgiving nature,1 to 5,17,4
Robin Williams,Tends to be disorganized,1 to 5,18,5
Robin Williams,Worries a lot,1 to 5,19,1
Robin Williams,Has an active imagination,1 to 5,20,1
Robin Williams,Tends to be quiet,1 to 5,21,5
Robin Williams,Is generally trusting,1 to 5,22,5
Robin Williams,Tends to be lazy,1 to 5,23,4
Robin Williams,"Is emotionally stable, not easily upset",1 to 5,24,3
Robin Williams,Is inventive,1 to 5,25,2
Robin Williams,Has an assertive personality,1 to 5,26,5
Robin Williams,Can be cold and aloof,1 to 5,27,5
Robin Williams,Perseveres until the task is finished,1 to 5,28,5
Robin Williams,Can be moody,1 to 5,29,5
Robin Williams,"Values artistic, aesthetic experiences",1 to 5,30,4
Robin Williams,"Is sometimes shy, inhibited",1 to 5,31,1
Robin Williams,Is considerate and kind to almost everyone,1 to 5,32,5
Robin Williams,Does things efficiently,1 to 5,33,4
Robin Williams,Remains calm in tense situations,1 to 5,34,5
Robin Williams,Prefers work that is routine,1 to 5,35,3
Robin Williams,"Is outgoing, sociable",1 to 5,36,5
Robin Williams,Is sometimes rude to others,1 to 5,37,5
Robin Williams,Makes plans and follows through with them,1 to 5,38,3
Robin Williams,Gets nervous easily,1 to 5,39,2
Robin Williams,"Likes to reflect, play with ideas",1 to 5,40,5
Robin Williams,Has few artistic interests,1 to 5,41,3
Robin Williams,Likes to cooperate with others,1 to 5,42,5
Robin Williams,Is easily distracted,1 to 5,43,5
Robin Williams,"Is sophisticated in art, music, or Literature",1 to 5,44,1
Marlon Brando,Is talkative,1 to 5,1,5
Marlon Brando,Tends to find fault with others,1 to 5,2,4
Marlon Brando,Does a thorough job,1 to 5,3,5
Marlon Brando,"Is depressed, blue",1 to 5,4,4
Marlon Brando,"Is original, comes up with new ideas",1 to 5,5,1
Marlon Brando,Is reserved,1 to 5,6,3
Marlon Brando,Is helpful and unselfish with others,1 to 5,7,4
Marlon Brando,Can be somewhat careless,1 to 5,8,4
Marlon Brando,"Is relaxed, handles stress well",1 to 5,9,3
Marlon Brando,Is curious about many different things,1 to 5,10,5
Marlon Brando,Is full of energy,1 to 5,11,5
Marlon Brando,Starts quarrels with others,1 to 5,12,4
Marlon Brando,Is a reliable worker,1 to 5,13,5
Marlon Brando,Can be tense,1 to 5,14,5
Marlon Brando,"Is ingenious, a deep thinker",1 to 5,15,5
Marlon Brando,Generates a lot of enthusiasm,1 to 5,16,4
Marlon Brando,Has a forgiving nature,1 to 5,17,4
Marlon Brando,Tends to be disorganized,1 to 5,18,3
Marlon Brando,Worries a lot,1 to 5,19,5
Marlon Brando,Has an active imagination,1 to 5,20,1
Marlon Brando,Tends to be quiet,1 to 5,21,4
Marlon Brando,Is generally trusting,1 to 5,22,5
Marlon Brando,Tends to be lazy,1 to 5,23,4
Marlon Brando,"Is emotionally stable, not easily upset",1 to 5,24,5
Marlon Brando,Is inventive,1 to 5,25,5
Marlon Brando,Has an assertive personality,1 to 5,26,5
Marlon Brando,Can be cold and aloof,1 to 5,27,1
Marlon Brando,Perseveres until the task is finished,1 to 5,28,5
Marlon Brando,Can be moody,1 to 5,29,5
Marlon Brando,"Values artistic, aesthetic experiences",1 to 5,30,5
Marlon Brando,"Is sometimes shy, inhibited",1 to 5,31,4
Marlon Brando,Is considerate and kind to almost everyone,1 to 5,32,5
Marlon Brando,Does things efficiently,1 to 5,33,4
Marlon Brando,Remains calm in tense situations,1 to 5,34,5
Marlon Brando,Prefers work that is routine,1 to 5,35,1
Marlon Brando,"Is outgoing, sociable",1 to 5,36,3
Marlon Brando,Is sometimes rude to others,1 to 5,37,1
Marlon Brando,Makes plans and follows through with them,1 to 5,38,3
Marlon Brando,Gets nervous easily,1 to 5,39,1
Marlon Brando,"Likes to reflect, play with ideas",1 to 5,40,5
Marlon Brando,Has few artistic interests,1 to 5,41,3
Marlon Brando,Likes to cooperate with others,1 to 5,42,3
Marlon Brando,Is easily distracted,1 to 5,43,4
Marlon Brando,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Bruce Lee,Is talkative,1 to 5,1,1
Bruce Lee,Tends to find fault with others,1 to 5,2,5
Bruce Lee,Does a thorough job,1 to 5,3,3
Bruce Lee,"Is depressed, blue",1 to 5,4,3
Bruce Lee,"Is original, comes up with new ideas",1 to 5,5,5
Bruce Lee,Is reserved,1 to 5,6,5
Bruce Lee,Is helpful and unselfish with others,1 to 5,7,4
Bruce Lee,Can be somewhat careless,1 to 5,8,5
Bruce Lee,"Is relaxed, handles stress well",1 to 5,9,3
Bruce Lee,Is curious about many different things,1 to 5,10,5
Bruce Lee,Is full of energy,1 to 5,11,5
Bruce Lee,Starts quarrels with others,1 to 5,12,3
Bruce Lee,Is a reliable worker,1 to 5,13,1
Bruce Lee,Can be tense,1 to 5,14,4
Bruce Lee,"Is ingenious, a deep thinker",1 to 5,15,4
Bruce Lee,Generates a lot of enthusiasm,1 to 5,16,5
Bruce Lee,Has a forgiving nature,1 to 5,17,4
Bruce Lee,Tends to be disorganized,1 to 5,18,1
Bruce Lee,Worries a lot,1 to 5,19,5
Bruce Lee,Has an active imagination,1 to 5,20,5
Bruce Lee,Tends to be quiet,1 to 5,21,3
Bruce Lee,Is generally trusting,1 to 5,22,4
Bruce Lee,Tends to be lazy,1 to 5,23,5
Bruce Lee,"Is emotionally stable, not easily upset",1 to 5,24,1
Bruce Lee,Is inventive,1 to 5,25,5
Bruce Lee,Has an assertive personality,1 to 5,26,1
Bruce Lee,Can be cold and aloof,1 to 5,27,5
Bruce Lee,Perseveres until the task is finished,1 to 5,28,5
Bruce Lee,Can be moody,1 to 5,29,5
Bruce Lee,"Values artistic, aesthetic experiences",1 to 5,30,5
Bruce Lee,"Is sometimes shy, inhibited",1 to 5,31,3
Bruce Lee,Is considerate and kind to almost everyone,1 to 5,32,3
Bruce Lee,Does things efficiently,1 to 5,33,5
Bruce Lee,Remains calm in tense situations,1 to 5,34,2
Bruce Lee,Prefers work that is routine,1 to 5,35,5
Bruce Lee,"Is outgoing, sociable",1 to 5,36,5
Bruce Lee,Is sometimes rude to others,1 to 5,37,3
Bruce Lee,Makes plans and follows through with them,1 to 5,38,5
Bruce Lee,Gets nervous easily,1 to 5,39,3
Bruce Lee,"Likes to reflect, play with ideas",1 to 5,40,1
Bruce Lee,Has few artistic interests,1 to 5,41,4
Bruce Lee,Likes to cooperate with others,1 to 5,42,1
Bruce Lee,Is easily distracted,1 to 5,43,5
Bruce Lee,"Is sophisticated in art, music, or Literature",1 to 5,44,1
Leonardo DiCaprio,Is talkative,1 to 5,1,3
Leonardo DiCaprio,Tends to find fault with others,1 to 5,2,4
Leonardo DiCaprio,Does a thorough job,1 to 5,3,5
Leonardo DiCaprio,"Is depressed, blue",1 to 5,4,4
Leonardo DiCaprio,"Is original, comes up with new ideas",1 to 5,5,4
Leonardo DiCaprio,Is reserved,1 to 5,6,2
Leonardo DiCaprio,Is helpful and unselfish with others,1 to 5,7,5
Leonardo DiCaprio,Can be somewhat careless,1 to 5,8,5
Leonardo DiCaprio,"Is relaxed, handles stress well",1 to 5,9,5
Leonardo DiCaprio,Is curious about many different things,1 to 5,10,4
Leonardo DiCaprio,Is full of energy,1 to 5,11,5
Leonardo DiCaprio,Starts quarrels with others,1 to 5,12,3
Leonardo DiCaprio,Is a reliable worker,1 to 5,13,3
Leonardo DiCaprio,Can be tense,1 to 5,14,5
Leonardo DiCaprio,"Is ingenious, a deep thinker",1 to 5,15,5
Leonardo DiCaprio,Generates a lot of enthusiasm,1 to 5,16,4
Leonardo DiCaprio,Has a forgiving nature,1 to 5,17,5
Leonardo DiCaprio,Tends to be disorganized,1 to 5,18,1
Leonardo DiCaprio,Worries a lot,1 to 5,19,5
Leonardo DiCaprio,Has an active imagination,1 to 5,20,3
Leonardo DiCaprio,Tends to be quiet,1 to 5,21,4
Leonardo DiCaprio,Is generally trusting,1 to 5,22,3
Leonardo DiCaprio,Tends to be lazy,1 to 5,23,4
Leonardo DiCaprio,"Is emotionally stable, not easily upset",1 to 5,24,5
Leonardo DiCaprio,Is inventive,1 to 5,25,3
Leonardo DiCaprio,Has an assertive personality,1 to 5,26,3
Leonardo DiCaprio,Can be cold and aloof,1 to 5,27,5
Leonardo DiCaprio,Perseveres until the task is finished,1 to 5,28,5
Leonardo DiCaprio,Can be moody,1 to 5,29,4
Leonardo DiCaprio,"Values artistic, aesthetic experiences",1 to 5,30,2
Leonardo DiCaprio,"Is sometimes shy, inhibited",1 to 5,31,5
Leonardo DiCaprio,Is considerate and kind to almost everyone,1 to 5,32,3
Leonardo DiCaprio,Does things efficiently,1 to 5,33,4
Leonardo DiCaprio,Remains calm in tense situations,1 to 5,34,3
Leonardo DiCaprio,Prefers work that is routine,1 to 5,35,5
Leonardo DiCaprio,"Is outgoing, sociable",1 to 5,36,4
Leonardo DiCaprio,Is sometimes rude to others,1 to 5,37,3
Leonardo DiCaprio,Makes plans and follows through with them,1 to 5,38,1
Leonardo DiCaprio,Gets nervous easily,1 to 5,39,4
Leonardo DiCaprio,"Likes to reflect, play with ideas",1 to 5,40,1
Leonardo DiCaprio,Has few artistic interests,1 to 5,41,4
Leonardo DiCaprio,Likes to cooperate with others,1 to 5,42,5
Leonardo DiCaprio,Is easily distracted,1 to 5,43,4
Leonardo DiCaprio,"Is sophisticated in art, music, or Literature",1 to 5,44,4
Hebe Camargo,Is talkative,1 to 5,1,2
Hebe Camargo,Tends to find fault with others,1 to 5,2,1
Hebe Camargo,Does a thorough job,1 to 5,3,3
Hebe Camargo,"Is depressed, blue",1 to 5,4,1
Hebe Camargo,"Is original, comes up with new ideas",1 to 5,5,3
Hebe Camargo,Is reserved,1 to 5,6,5
Hebe Camargo,Is helpful and unselfish with others,1 to 5,7,1
Hebe Camargo,Can be somewhat careless,1 to 5,8,3
Hebe Camargo,"Is relaxed, handles stress well",1 to 5,9,4
Hebe Camargo,Is curious about many different things,1 to 5,10,4
Hebe Camargo,Is full of energy,1 to 5,11,4
Hebe Camargo,Starts quarrels with others,1 to 5,12,3
Hebe Camargo,Is a reliable worker,1 to 5,13,1
Hebe Camargo,Can be tense,1 to 5,14,1
Hebe Camargo,"Is ingenious, a deep thinker",1 to 5,15,5
Hebe Camargo,Generates a lot of enthusiasm,1 to 5,16,5
Hebe Camargo,Has a forgiving nature,1 to 5,17,1
Hebe Camargo,Tends to be disorganized,1 to 5,18,5
Hebe Camargo,Worries a lot,1 to 5,19,5
Hebe Camargo,Has an active imagination,1 to 5,20,1
Hebe Camargo,Tends to be quiet,1 to 5,21,2
Hebe Camargo,Is generally trusting,1 to 5,22,5
Hebe Camargo,Tends to be lazy,1 to 5,23,3
Hebe Camargo,"Is emotionally stable, not easily upset",1 to 5,24,5
Hebe Camargo,Is inventive,1 to 5,25,5
Hebe Camargo,Has an assertive personality,1 to 5,26,5
Hebe Camargo,Can be cold and aloof,1 to 5,27,3
Hebe Camargo,Perseveres until the task is finished,1 to 5,28,5
Hebe Camargo,Can be moody,1 to 5,29,5
Hebe Camargo,"Values artistic, aesthetic experiences",1 to 5,30,4
Hebe Camargo,"Is sometimes shy, inhibited",1 to 5,31,5
Hebe Camargo,Is considerate and kind to almost everyone,1 to 5,32,1
Hebe Camargo,Does things efficiently,1 to 5,33,1
Hebe Camargo,Remains calm in tense situations,1 to 5,34,1
Hebe Camargo,Prefers work that is routine,1 to 5,35,5
Hebe Camargo,"Is outgoing, sociable",1 to 5,36,5
Hebe Camargo,Is sometimes rude to others,1 to 5,37,1
Hebe Camargo,Makes plans and follows through with them,1 to 5,38,5
Hebe Camargo,Gets nervous easily,1 to 5,39,5
Hebe Camargo,"Likes to reflect, play with ideas",1 to 5,40,5
Hebe Camargo,Has few artistic interests,1 to 5,41,1
Hebe Camargo,Likes to cooperate with others,1 to 5,42,5
Hebe Camargo,Is easily distracted,1 to 5,43,4
Hebe Camargo,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Brad Pitt,Is talkative,1 to 5,1,1
Brad Pitt,Tends to find fault with others,1 to 5,2,3
Brad Pitt,Does a thorough job,1 to 5,3,3
Brad Pitt,"Is depressed, blue",1 to 5,4,4
Brad Pitt,"Is original, comes up with new ideas",1 to 5,5,3
Brad Pitt,Is reserved,1 to 5,6,5
Brad Pitt,Is helpful and unselfish with others,1 to 5,7,4
Brad Pitt,Can be somewhat careless,1 to 5,8,5
Brad Pitt,"Is relaxed, handles stress well",1 to 5,9,1
Brad Pitt,Is curious about many different things,1 to 5,10,3
Brad Pitt,Is full of energy,1 to 5,11,5
Brad Pitt,Starts quarrels with others,1 to 5,12,5
Brad Pitt,Is a reliable worker,1 to 5,13,5
Brad Pitt,Can be tense,1 to 5,14,2
Brad Pitt,"Is ingenious, a deep thinker",1 to 5,15,3
Brad Pitt,Generates a lot of enthusiasm,1 to 5,16,5
Brad Pitt,Has a forgiving nature,1 to 5,17,4
Brad Pitt,Tends to be disorganized,1 to 5,18,4
Brad Pitt,Worries a lot,1 to 5,19,1
Brad Pitt,Has an active imagination,1 to 5,20,4
Brad Pitt,Tends to be quiet,1 to 5,21,1
Brad Pitt,Is generally trusting,1 to 5,22,4
Brad Pitt,Tends to be lazy,1 to 5,23,2
Brad Pitt,"Is emotionally stable, not easily upset",1 to 5,24,1
Brad Pitt,Is inventive,1 to 5,25,4
Brad Pitt,Has an assertive personality,1 to 5,26,5
Brad Pitt,Can be cold and aloof,1 to 5,27,3
Brad Pitt,Perseveres until the task is finished,1 to 5,28,1
Brad Pitt,Can be moody,1 to 5,29,5
Brad Pitt,"Values artistic, aesthetic experiences",1 to 5,30,3
Brad Pitt,"Is sometimes shy, inhibited",1 to 5,31,5
Brad Pitt,Is considerate and kind to almost everyone,1 to 5,32,4
Brad Pitt,Does things efficiently,1 to 5,33,4
Brad Pitt,Remains calm in tense situations,1 to 5,34,1
Brad Pitt,Prefers work that is routine,1 to 5,35,4
Brad Pitt,"Is outgoing, sociable",1 to 5,36,3
Brad Pitt,Is sometimes rude to others,1 to 5,37,3
Brad Pitt,Makes plans and follows through with them,1 to 5,38,3
Brad Pitt,Gets nervous easily,1 to 5,39,5
Brad Pitt,"Likes to reflect, play with ideas",1 to 5,40,2
Brad Pitt,Has few artistic interests,1 to 5,41,3
Brad Pitt,Likes to cooperate with others,1 to 5,42,2
Brad Pitt,Is easily distracted,1 to 5,43,3
Brad Pitt,"Is sophisticated in art, music, or Literature",1 to 5,44,3
Judy Garland,Is talkative,1 to 5,1,4
Judy Garland,Tends to find fault with others,1 to 5,2,1
Judy Garland,Does a thorough job,1 to 5,3,5
Judy Garland,"Is depressed, blue",1 to 5,4,5
Judy Garland,"Is original, comes up with new ideas",1 to 5,5,1
Judy Garland,Is reserved,1 to 5,6,4
Judy Garland,Is helpful and unselfish with others,1 to 5,7,4
Judy Garland,Can be somewhat careless,1 to 5,8,1
Judy Garland,"Is relaxed, handles stress well",1 to 5,9,3
Judy Garland,Is curious about many different things,1 to 5,10,1
Judy Garland,Is full of energy,1 to 5,11,3
Judy Garland,Starts quarrels with others,1 to 5,12,3
Judy Garland,Is a reliable worker,1 to 5,13,2
Judy Garland,Can be tense,1 to 5,14,2
Judy Garland,"Is ingenious, a deep thinker",1 to 5,15,1
Judy Garland,Generates a lot of enthusiasm,1 to 5,16,5
Judy Garland,Has a forgiving nature,1 to 5,17,5
Judy Garland,Tends to be disorganized,1 to 5,18,5
Judy Garland,Worries a lot,1 to 5,19,5
Judy Garland,Has an active imagination,1 to 5,20,2
Judy Garland,Tends to be quiet,1 to 5,21,5
Judy Garland,Is generally trusting,1 to 5,22,5
Judy Garland,Tends to be lazy,1 to 5,23,3
Judy Garland,"Is emotionally stable, not easily upset",1 to 5,24,1
Judy Garland,Is inventive,1 to 5,25,1
Judy Garland,Has an assertive personality,1 to 5,26,5
Judy Garland,Can be cold and aloof,1 to 5,27,2
Judy Garland,Perseveres until the task is finished,1 to 5,28,1
Judy Garland,Can be moody,1 to 5,29,5
Judy Garland,"Values artistic, aesthetic experiences",1 to 5,30,5
Judy Garland,"Is sometimes shy, inhibited",1 to 5,31,5
Judy Garland,Is considerate and kind to almost everyone,1 to 5,32,5
Judy Garland,Does things efficiently,1 to 5,33,5
Judy Garland,Remains calm in tense situations,1 to 5,34,5
Judy Garland,Prefers work that is routine,1 to 5,35,5
Judy Garland,"Is outgoing, sociable",1 to 5,36,5
Judy Garland,Is sometimes rude to others,1 to 5,37,5
Judy Garland,Makes plans and follows through with them,1 to 5,38,5
Judy Garland,Gets nervous easily,1 to 5,39,5
Judy Garland,"Likes to reflect, play with ideas",1 to 5,40,4
Judy Garland,Has few artistic interests,1 to 5,41,4
Judy Garland,Likes to cooperate with others,1 to 5,42,1
Judy Garland,Is easily distracted,1 to 5,43,3
Judy Garland,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Johnny Depp,Is talkative,1 to 5,1,5
Johnny Depp,Tends to find fault with others,1 to 5,2,5
Johnny Depp,Does a thorough job,1 to 5,3,3
Johnny Depp,"Is depressed, blue",1 to 5,4,5
Johnny Depp,"Is original, comes up with new ideas",1 to 5,5,4
Johnny Depp,Is reserved,1 to 5,6,3
Johnny Depp,Is helpful and unselfish with others,1 to 5,7,2
Johnny Depp,Can be somewhat careless,1 to 5,8,5
Johnny Depp,"Is relaxed, handles stress well",1 to 5,9,5
Johnny Depp,Is curious about many different things,1 to 5,10,4
Johnny Depp,Is full of energy,1 to 5,11,1
Johnny Depp,Starts quarrels with others,1 to 5,12,2
Johnny Depp,Is a reliable worker,1 to 5,13,5
Johnny Depp,Can be tense,1 to 5,14,4
Johnny Depp,"Is ingenious, a deep thinker",1 to 5,15,4
Johnny Depp,Generates a lot of enthusiasm,1 to 5,16,5
Johnny Depp,Has a forgiving nature,1 to 5,17,3
Johnny Depp,Tends to be disorganized,1 to 5,18,4
Johnny Depp,Worries a lot,1 to 5,19,5
Johnny Depp,Has an active imagination,1 to 5,20,3
Johnny Depp,Tends to be quiet,1 to 5,21,5
Johnny Depp,Is generally trusting,1 to 5,22,5
Johnny Depp,Tends to be lazy,1 to 5,23,2
Johnny Depp,"Is emotionally stable, not easily upset",1 to 5,24,4
Johnny Depp,Is inventive,1 to 5,25,4
Johnny Depp,Has an assertive personality,1 to 5,26,4
Johnny Depp,Can be cold and aloof,1 to 5,27,5
Johnny Depp,Perseveres until the task is finished,1 to 5,28,4
Johnny Depp,Can be moody,1 to 5,29,3
Johnny Depp,"Values artistic, aesthetic experiences",1 to 5,30,2
Johnny Depp,"Is sometimes shy, inhibited",1 to 5,31,5
Johnny Depp,Is considerate and kind to almost everyone,1 to 5,32,1
Johnny Depp,Does things efficiently,1 to 5,33,3
Johnny Depp,Remains calm in tense situations,1 to 5,34,3
Johnny Depp,Prefers work that is routine,1 to 5,35,5
Johnny Depp,"Is outgoing, sociable",1 to 5,36,4
Johnny Depp,Is sometimes rude to others,1 to 5,37,4
Johnny Depp,Makes plans and follows through with them,1 to 5,38,3
Johnny Depp,Gets nervous easily,1 to 5,39,4
